Episode 1: Total Reward = 1858.0 | x_pos = 1943 | completed: False
Episode 2: Total Reward = 1377.0 | x_pos = 1428 | completed: False
Episode 3: Total Reward = 2131.0 | x_pos = 1437 | completed: False
Episode 4: Total Reward = 720.0 | x_pos = 308 | completed: False
Episode 5: Total Reward = 1946.0 | x_pos = 722 | completed: False
Episode 6: Total Reward = 1438.0 | x_pos = 1410 | completed: False
Episode 7: Total Reward = 2280.0 | x_pos = 1139 | completed: False
Episode 8: Total Reward = 2272.0 | x_pos = 1126 | completed: False
Episode 9: Total Reward = 1724.0 | x_pos = 1436 | completed: False
Episode 10: Total Reward = 1792.0 | x_pos = 1407 | completed: False
Episode 11: Total Reward = 1737.0 | x_pos = 793 | completed: False
Episode 12: Total Reward = 1597.0 | x_pos = 1414 | completed: False
Episode 13: Total Reward = 1882.0 | x_pos = 686 | completed: False
Episode 14: Total Reward = 1453.0 | x_pos = 1436 | completed: False
Episode 15: Total Reward = 1430.0 | x_pos = 722 | completed: False
Episode 16: Total Reward = 2371.0 | x_pos = 1412 | completed: False
Episode 17: Total Reward = 1331.0 | x_pos = 314 | completed: False
Episode 18: Total Reward = 2188.0 | x_pos = 1401 | completed: False
Episode 19: Total Reward = 2080.0 | x_pos = 694 | completed: False
Episode 20: Total Reward = 1379.0 | x_pos = 685 | completed: False
Episode 21: Total Reward = 1855.0 | x_pos = 704 | completed: False
Episode 22: Total Reward = 1531.0 | x_pos = 816 | completed: False
Episode 23: Total Reward = 1670.0 | x_pos = 1138 | completed: False
Episode 24: Total Reward = 1879.0 | x_pos = 1411 | completed: False
Episode 25: Total Reward = 1077.0 | x_pos = 296 | completed: False
Episode 26: Total Reward = 2216.0 | x_pos = 1423 | completed: False
Episode 27: Total Reward = 1835.0 | x_pos = 683 | completed: False
Episode 28: Total Reward = 1974.0 | x_pos = 869 | completed: False
Episode 29: Total Reward = 2194.0 | x_pos = 1411 | completed: False
Episode 30: Total Reward = 2509.0 | x_pos = 2006 | completed: False
Episode 31: Total Reward = 2047.0 | x_pos = 722 | completed: False
Episode 32: Total Reward = 1842.0 | x_pos = 1429 | completed: False
Episode 33: Total Reward = 1750.0 | x_pos = 309 | completed: False
Episode 34: Total Reward = 1880.0 | x_pos = 1125 | completed: False
Episode 35: Total Reward = 1899.0 | x_pos = 313 | completed: False
Episode 36: Total Reward = 2309.0 | x_pos = 866 | completed: False
Episode 37: Total Reward = 2621.0 | x_pos = 2026 | completed: False
Episode 38: Total Reward = 1711.0 | x_pos = 1668 | completed: False
Episode 39: Total Reward = 1832.0 | x_pos = 1414 | completed: False
Episode 40: Total Reward = 1508.0 | x_pos = 304 | completed: False
Episode 41: Total Reward = 708.0 | x_pos = 305 | completed: False
Episode 42: Total Reward = 1658.0 | x_pos = 311 | completed: False
Episode 43: Total Reward = 1349.0 | x_pos = 272 | completed: False
