Episode 639: Total Reward = 813.0, Position = 40, Completed: False
Episode 640: Total Reward = 1261.0, Position = 40, Completed: False
Episode 641: Total Reward = 500.0, Position = 40, Completed: False
Episode 642: Total Reward = 465.0, Position = 40, Completed: False
Episode 643: Total Reward = 465.0, Position = 40, Completed: False
Episode 644: Total Reward = 466.0, Position = 40, Completed: False
Episode 645: Total Reward = 498.0, Position = 40, Completed: False
Episode 646: Total Reward = 462.0, Position = 40, Completed: False
Episode 647: Total Reward = 474.0, Position = 40, Completed: False
Episode 648: Total Reward = 486.0, Position = 40, Completed: False
Episode 649: Total Reward = 480.0, Position = 40, Completed: False
Episode 650: Total Reward = 475.0, Position = 40, Completed: False
Episode 651: Total Reward = 478.0, Position = 40, Completed: False
Episode 652: Total Reward = 1031.0, Position = 40, Completed: False
Episode 653: Total Reward = 1296.0, Position = 1320, Completed: False
Episode 654: Total Reward = 1265.0, Position = 40, Completed: False
Episode 655: Total Reward = 1026.0, Position = 40, Completed: False
Episode 656: Total Reward = 469.0, Position = 40, Completed: False
Episode 657: Total Reward = 455.0, Position = 40, Completed: False
Episode 658: Total Reward = 450.0, Position = 40, Completed: False
Episode 659: Total Reward = 477.0, Position = 40, Completed: False
Episode 660: Total Reward = 852.0, Position = 40, Completed: False
Episode 661: Total Reward = 466.0, Position = 40, Completed: False
Episode 662: Total Reward = 482.0, Position = 40, Completed: False
Episode 663: Total Reward = 457.0, Position = 40, Completed: False
Episode 664: Total Reward = 470.0, Position = 40, Completed: False
Episode 665: Total Reward = 472.0, Position = 40, Completed: False
Episode 666: Total Reward = 887.0, Position = 40, Completed: False
Episode 667: Total Reward = 473.0, Position = 40, Completed: False
Episode 668: Total Reward = 814.0, Position = 40, Completed: False
Episode 669: Total Reward = 861.0, Position = 40, Completed: False
Episode 670: Total Reward = 473.0, Position = 40, Completed: False
Episode 671: Total Reward = 479.0, Position = 40, Completed: False
Episode 672: Total Reward = 458.0, Position = 40, Completed: False
Episode 673: Total Reward = 435.0, Position = 40, Completed: False
Episode 674: Total Reward = 467.0, Position = 40, Completed: False
Episode 675: Total Reward = 477.0, Position = 40, Completed: False
Episode 676: Total Reward = 463.0, Position = 40, Completed: False
Episode 677: Total Reward = 490.0, Position = 40, Completed: False
Episode 678: Total Reward = 475.0, Position = 40, Completed: False
Episode 679: Total Reward = 465.0, Position = 40, Completed: False
Episode 680: Total Reward = 412.0, Position = 40, Completed: False
Episode 681: Total Reward = 459.0, Position = 40, Completed: False
Episode 682: Total Reward = 448.0, Position = 40, Completed: False
Episode 683: Total Reward = 771.0, Position = 40, Completed: False
Episode 684: Total Reward = 488.0, Position = 40, Completed: False
Episode 685: Total Reward = 1285.0, Position = 40, Completed: False
Episode 686: Total Reward = 482.0, Position = 40, Completed: False
Episode 687: Total Reward = 501.0, Position = 40, Completed: False
Episode 688: Total Reward = 459.0, Position = 40, Completed: False
Episode 689: Total Reward = 495.0, Position = 40, Completed: False
Episode 690: Total Reward = 474.0, Position = 40, Completed: False
Episode 691: Total Reward = 983.0, Position = 40, Completed: False
Episode 692: Total Reward = 873.0, Position = 40, Completed: False
Episode 693: Total Reward = 847.0, Position = 40, Completed: False
Episode 694: Total Reward = 478.0, Position = 40, Completed: False
Episode 695: Total Reward = 802.0, Position = 40, Completed: False
Episode 696: Total Reward = 478.0, Position = 40, Completed: False
Episode 697: Total Reward = 931.0, Position = 40, Completed: False
Episode 698: Total Reward = 474.0, Position = 40, Completed: False
Episode 699: Total Reward = 460.0, Position = 40, Completed: False
Episode 700: Total Reward = 471.0, Position = 40, Completed: False
Episode 701: Total Reward = 424.0, Position = 40, Completed: False
Episode 702: Total Reward = 487.0, Position = 40, Completed: False
Episode 703: Total Reward = 463.0, Position = 40, Completed: False
Episode 704: Total Reward = 1265.0, Position = 40, Completed: False
Episode 705: Total Reward = 478.0, Position = 40, Completed: False
Episode 706: Total Reward = 467.0, Position = 40, Completed: False
Episode 707: Total Reward = 458.0, Position = 40, Completed: False
Episode 708: Total Reward = 990.0, Position = 40, Completed: False
Episode 709: Total Reward = 458.0, Position = 40, Completed: False
Episode 710: Total Reward = 464.0, Position = 40, Completed: False
Episode 711: Total Reward = 495.0, Position = 40, Completed: False
Episode 712: Total Reward = 984.0, Position = 40, Completed: False
Episode 713: Total Reward = 482.0, Position = 40, Completed: False
Episode 714: Total Reward = 457.0, Position = 40, Completed: False
Episode 715: Total Reward = 976.0, Position = 40, Completed: False
Episode 716: Total Reward = 476.0, Position = 40, Completed: False
Episode 717: Total Reward = 1214.0, Position = 40, Completed: False
Episode 718: Total Reward = 463.0, Position = 40, Completed: False
Episode 719: Total Reward = 841.0, Position = 40, Completed: False
Episode 720: Total Reward = 447.0, Position = 40, Completed: False
Episode 721: Total Reward = 882.0, Position = 40, Completed: False
Episode 722: Total Reward = 1013.0, Position = 40, Completed: False
Episode 723: Total Reward = 482.0, Position = 40, Completed: False
Episode 724: Total Reward = 479.0, Position = 40, Completed: False
Episode 725: Total Reward = 1335.0, Position = 40, Completed: False
Episode 726: Total Reward = 479.0, Position = 40, Completed: False
Episode 727: Total Reward = 824.0, Position = 40, Completed: False
Episode 728: Total Reward = 498.0, Position = 40, Completed: False
Episode 729: Total Reward = 479.0, Position = 40, Completed: False
Episode 730: Total Reward = 480.0, Position = 40, Completed: False
Episode 731: Total Reward = 474.0, Position = 40, Completed: False
Episode 732: Total Reward = 464.0, Position = 40, Completed: False
Episode 733: Total Reward = 1059.0, Position = 40, Completed: False
Episode 734: Total Reward = 856.0, Position = 40, Completed: False
Episode 735: Total Reward = 478.0, Position = 40, Completed: False
Episode 736: Total Reward = 456.0, Position = 40, Completed: False
Episode 737: Total Reward = 477.0, Position = 40, Completed: False
Episode 738: Total Reward = 448.0, Position = 40, Completed: False
Episode 739: Total Reward = 450.0, Position = 40, Completed: False
Episode 740: Total Reward = 461.0, Position = 40, Completed: False
Episode 741: Total Reward = 880.0, Position = 40, Completed: False
Episode 742: Total Reward = 870.0, Position = 40, Completed: False
Episode 743: Total Reward = 476.0, Position = 40, Completed: False
Episode 744: Total Reward = 473.0, Position = 40, Completed: False
Episode 745: Total Reward = 491.0, Position = 40, Completed: False
Episode 746: Total Reward = 434.0, Position = 40, Completed: False
Episode 747: Total Reward = 1274.0, Position = 40, Completed: False
Episode 748: Total Reward = 476.0, Position = 40, Completed: False
Episode 749: Total Reward = 480.0, Position = 40, Completed: False
Episode 750: Total Reward = 1228.0, Position = 40, Completed: False
Episode 751: Total Reward = 463.0, Position = 40, Completed: False
Episode 752: Total Reward = 1344.0, Position = 40, Completed: False
Episode 753: Total Reward = 878.0, Position = 40, Completed: False
Episode 754: Total Reward = 1333.0, Position = 40, Completed: False
Episode 755: Total Reward = 465.0, Position = 40, Completed: False
Episode 756: Total Reward = 1527.0, Position = 1320, Completed: False
Episode 757: Total Reward = 869.0, Position = 40, Completed: False
Episode 758: Total Reward = 478.0, Position = 40, Completed: False
Episode 759: Total Reward = 472.0, Position = 40, Completed: False
Episode 760: Total Reward = 870.0, Position = 40, Completed: False
Episode 761: Total Reward = 481.0, Position = 40, Completed: False
Episode 762: Total Reward = 470.0, Position = 40, Completed: False
Episode 763: Total Reward = 469.0, Position = 40, Completed: False
Episode 764: Total Reward = 454.0, Position = 40, Completed: False
Episode 765: Total Reward = 930.0, Position = 40, Completed: False
Episode 766: Total Reward = 837.0, Position = 40, Completed: False
Episode 767: Total Reward = 869.0, Position = 40, Completed: False
Episode 768: Total Reward = 1046.0, Position = 40, Completed: False
Episode 769: Total Reward = 471.0, Position = 40, Completed: False
Episode 770: Total Reward = 478.0, Position = 40, Completed: False
Episode 771: Total Reward = 476.0, Position = 40, Completed: False
Episode 772: Total Reward = 836.0, Position = 40, Completed: False
Episode 773: Total Reward = 1662.0, Position = 40, Completed: False
Episode 774: Total Reward = 499.0, Position = 40, Completed: False
Episode 775: Total Reward = 478.0, Position = 40, Completed: False
Episode 776: Total Reward = 482.0, Position = 40, Completed: False
Episode 777: Total Reward = 467.0, Position = 40, Completed: False
Episode 778: Total Reward = 454.0, Position = 40, Completed: False
Episode 779: Total Reward = 481.0, Position = 40, Completed: False
Episode 780: Total Reward = 477.0, Position = 40, Completed: False
Episode 781: Total Reward = 470.0, Position = 40, Completed: False
Episode 782: Total Reward = 472.0, Position = 40, Completed: False
Episode 783: Total Reward = 450.0, Position = 40, Completed: False
Episode 784: Total Reward = 1592.0, Position = 1320, Completed: False
Episode 785: Total Reward = 852.0, Position = 40, Completed: False
Episode 786: Total Reward = 479.0, Position = 40, Completed: False
Episode 787: Total Reward = 495.0, Position = 40, Completed: False
Episode 788: Total Reward = 1241.0, Position = 40, Completed: False
Episode 789: Total Reward = 459.0, Position = 40, Completed: False
Episode 790: Total Reward = 478.0, Position = 40, Completed: False
Episode 791: Total Reward = 437.0, Position = 40, Completed: False
Episode 792: Total Reward = 463.0, Position = 40, Completed: False
Episode 793: Total Reward = 479.0, Position = 40, Completed: False
Episode 794: Total Reward = 499.0, Position = 40, Completed: False
Episode 795: Total Reward = 851.0, Position = 40, Completed: False
Episode 796: Total Reward = 476.0, Position = 40, Completed: False
Episode 797: Total Reward = 460.0, Position = 40, Completed: False
Episode 798: Total Reward = 472.0, Position = 40, Completed: False
Episode 799: Total Reward = 494.0, Position = 40, Completed: False
Episode 800: Total Reward = 463.0, Position = 40, Completed: False
Episode 801: Total Reward = 479.0, Position = 40, Completed: False
Episode 802: Total Reward = 472.0, Position = 40, Completed: False
Episode 803: Total Reward = 974.0, Position = 40, Completed: False
Episode 804: Total Reward = 459.0, Position = 40, Completed: False
Episode 805: Total Reward = 468.0, Position = 40, Completed: False
Episode 806: Total Reward = 477.0, Position = 40, Completed: False
Episode 807: Total Reward = 479.0, Position = 40, Completed: False
Episode 808: Total Reward = 846.0, Position = 40, Completed: False
Episode 809: Total Reward = 468.0, Position = 40, Completed: False
Episode 810: Total Reward = 463.0, Position = 40, Completed: False
Episode 811: Total Reward = 500.0, Position = 40, Completed: False
Episode 812: Total Reward = 467.0, Position = 40, Completed: False
Episode 813: Total Reward = 470.0, Position = 40, Completed: False
Episode 814: Total Reward = 442.0, Position = 40, Completed: False
Episode 815: Total Reward = 921.0, Position = 40, Completed: False
Episode 816: Total Reward = 976.0, Position = 40, Completed: False
Episode 817: Total Reward = 1002.0, Position = 40, Completed: False
Episode 818: Total Reward = 491.0, Position = 40, Completed: False
Episode 819: Total Reward = 485.0, Position = 40, Completed: False
Episode 820: Total Reward = 990.0, Position = 40, Completed: False
Episode 821: Total Reward = 491.0, Position = 40, Completed: False
